GENERIC NAME,SOURCE,MONTH,DESTINATION
minocycline,Ernakulam,February,Idukki
sertraline,Kozhikode,January,Kannur
lisinopril,Kasargod,December,Ernakulam
elvitegravir,Palakkad,April,Kasargod
triamcinolone,Thiruvananthapuram,December,Wayanad
lidocaine topical,Pathanamthitta,February,Kasargod
emtricitabine,Aleppey,January,Thiruvananthapuram
diphenhydramine,Kozhikode,December,Palakkad
bupropion,Thiruvananthapuram,January,Ernakulam
spironolactone,Thiruvananthapuram,November,Kollam
sertraline,Idukki,March,Aleppey
triamcinolone,Kannur,May,Kottayam
lidocaine topical,Kollam,August,Kozhikode
emtricitabine,Kottayam,June,Malappuram
triamcinolone,Malappuram,September,Pathanamthitta
minocycline,Thrissur,July,Thrissur
lidocaine topical,Wayanad,October,Thiruvananthapuram
minocycline,Ernakulam,February,Idukki
sertraline,Kozhikode,January,Kannur
lisinopril,Kasargod,December,Ernakulam
elvitegravir,Palakkad,April,Kasargod
triamcinolone,Thiruvananthapuram,December,Wayanad
lidocaine topical,Pathanamthitta,February,Kasargod
emtricitabine,Aleppey,January,Thiruvananthapuram
diphenhydramine,Kozhikode,December,Palakkad
bupropion,Thiruvananthapuram,January,Ernakulam
spironolactone,Thiruvananthapuram,November,Kollam
sertraline,Idukki,March,Aleppey
triamcinolone,Kannur,May,Kottayam
lidocaine topical,Kollam,August,Kozhikode
emtricitabine,Kottayam,June,Malappuram
triamcinolone,Malappuram,September,Pathanamthitta
minocycline,Thrissur,July,Thrissur
lidocaine topical,Wayanad,October,Thiruvananthapuram
minocycline,Ernakulam,February,Idukki
sertraline,Kozhikode,January,Kannur
lisinopril,Kasargod,December,Ernakulam
elvitegravir,Palakkad,April,Kasargod
triamcinolone,Thiruvananthapuram,December,Wayanad
lidocaine topical,Pathanamthitta,February,Kasargod
emtricitabine,Aleppey,January,Thiruvananthapuram
diphenhydramine,Kozhikode,December,Palakkad
bupropion,Thiruvananthapuram,January,Ernakulam
spironolactone,Thiruvananthapuram,November,Kollam
sertraline,Idukki,March,Aleppey
triamcinolone,Kannur,May,Kottayam
lidocaine topical,Kollam,August,Kozhikode
emtricitabine,Kottayam,June,Malappuram
triamcinolone,Malappuram,September,Pathanamthitta
minocycline,Thrissur,July,Thrissur
lidocaine topical,Wayanad,October,Thiruvananthapuram
minocycline,Ernakulam,February,Idukki
sertraline,Kozhikode,January,Kannur
lisinopril,Kasargod,December,Ernakulam
elvitegravir,Palakkad,April,Kasargod
triamcinolone,Thiruvananthapuram,December,Wayanad
lidocaine topical,Pathanamthitta,February,Kasargod
emtricitabine,Aleppey,January,Thiruvananthapuram
diphenhydramine,Kozhikode,December,Palakkad
bupropion,Thiruvananthapuram,January,Ernakulam
spironolactone,Thiruvananthapuram,November,Kollam
sertraline,Idukki,March,Aleppey
triamcinolone,Kannur,May,Kottayam
lidocaine topical,Kollam,August,Kozhikode
emtricitabine,Kottayam,June,Malappuram
triamcinolone,Malappuram,September,Pathanamthitta
minocycline,Thrissur,July,Thrissur
lidocaine topical,Wayanad,October,Thiruvananthapuram
minocycline,Ernakulam,February,Idukki
sertraline,Kozhikode,January,Kannur
lisinopril,Kasargod,December,Ernakulam
elvitegravir,Palakkad,April,Kasargod
triamcinolone,Thiruvananthapuram,December,Wayanad
lidocaine topical,Pathanamthitta,February,Kasargod
emtricitabine,Aleppey,January,Thiruvananthapuram
diphenhydramine,Kozhikode,December,Palakkad
bupropion,Thiruvananthapuram,January,Ernakulam
spironolactone,Thiruvananthapuram,November,Kollam
sertraline,Idukki,March,Aleppey
triamcinolone,Kannur,May,Kottayam
lidocaine topical,Kollam,August,Kozhikode
emtricitabine,Kottayam,June,Malappuram
triamcinolone,Malappuram,September,Pathanamthitta
minocycline,Thrissur,July,Thrissur
lidocaine topical,Wayanad,October,Thiruvananthapuram
minocycline,Ernakulam,February,Idukki
sertraline,Kozhikode,January,Kannur
lisinopril,Kasargod,December,Ernakulam
elvitegravir,Palakkad,April,Kasargod
triamcinolone,Thiruvananthapuram,December,Wayanad
lidocaine topical,Pathanamthitta,February,Kasargod
emtricitabine,Aleppey,January,Thiruvananthapuram
diphenhydramine,Kozhikode,December,Palakkad
bupropion,Thiruvananthapuram,January,Ernakulam
spironolactone,Thiruvananthapuram,November,Kollam
sertraline,Idukki,March,Aleppey
triamcinolone,Kannur,May,Kottayam
lidocaine topical,Kollam,August,Kozhikode
emtricitabine,Kottayam,June,Malappuram
triamcinolone,Malappuram,September,Pathanamthitta
minocycline,Thrissur,July,Thrissur
lidocaine topical,Wayanad,October,Thiruvananthapuram
minocycline,Ernakulam,February,Idukki
sertraline,Kozhikode,January,Kannur
lisinopril,Kasargod,December,Ernakulam
elvitegravir,Palakkad,April,Kasargod
triamcinolone,Thiruvananthapuram,December,Wayanad
lidocaine topical,Pathanamthitta,February,Kasargod
emtricitabine,Aleppey,January,Thiruvananthapuram
diphenhydramine,Kozhikode,December,Palakkad
bupropion,Thiruvananthapuram,January,Ernakulam
spironolactone,Thiruvananthapuram,November,Kollam
sertraline,Idukki,March,Aleppey
triamcinolone,Kannur,May,Kottayam
lidocaine topical,Kollam,August,Kozhikode
emtricitabine,Kottayam,June,Malappuram
triamcinolone,Malappuram,September,Pathanamthitta
minocycline,Thrissur,July,Thrissur
lidocaine topical,Wayanad,October,Thiruvananthapuram
minocycline,Ernakulam,February,Idukki
sertraline,Kozhikode,January,Kannur
lisinopril,Kasargod,December,Ernakulam
elvitegravir,Palakkad,April,Kasargod
triamcinolone,Thiruvananthapuram,December,Wayanad
lidocaine topical,Pathanamthitta,February,Kasargod
emtricitabine,Aleppey,January,Thiruvananthapuram
diphenhydramine,Kozhikode,December,Palakkad
bupropion,Thiruvananthapuram,January,Ernakulam
spironolactone,Thiruvananthapuram,November,Kollam
sertraline,Idukki,March,Aleppey
triamcinolone,Kannur,May,Kottayam
lidocaine topical,Kollam,August,Kozhikode
emtricitabine,Kottayam,June,Malappuram
triamcinolone,Malappuram,September,Pathanamthitta
minocycline,Thrissur,July,Thrissur
lidocaine topical,Wayanad,October,Thiruvananthapuram
minocycline,Ernakulam,February,Idukki
sertraline,Kozhikode,January,Kannur
lisinopril,Kasargod,December,Ernakulam
elvitegravir,Palakkad,April,Kasargod
triamcinolone,Thiruvananthapuram,December,Wayanad
lidocaine topical,Pathanamthitta,February,Kasargod
emtricitabine,Aleppey,January,Thiruvananthapuram
diphenhydramine,Kozhikode,December,Palakkad
bupropion,Thiruvananthapuram,January,Ernakulam
spironolactone,Thiruvananthapuram,November,Kollam
sertraline,Idukki,March,Aleppey
triamcinolone,Kannur,May,Kottayam
lidocaine topical,Kollam,August,Kozhikode
emtricitabine,Kottayam,June,Malappuram
triamcinolone,Malappuram,September,Pathanamthitta
minocycline,Thrissur,July,Thrissur
lidocaine topical,Wayanad,October,Thiruvananthapuram
minocycline,Ernakulam,February,Idukki
sertraline,Kozhikode,January,Kannur
lisinopril,Kasargod,December,Ernakulam
elvitegravir,Palakkad,April,Kasargod
triamcinolone,Thiruvananthapuram,December,Wayanad
lidocaine topical,Pathanamthitta,February,Kasargod
emtricitabine,Aleppey,January,Thiruvananthapuram
diphenhydramine,Kozhikode,December,Palakkad
bupropion,Thiruvananthapuram,January,Ernakulam
spironolactone,Thiruvananthapuram,November,Kollam
sertraline,Idukki,March,Aleppey
triamcinolone,Kannur,May,Kottayam
lidocaine topical,Kollam,August,Kozhikode
emtricitabine,Kottayam,June,Malappuram
triamcinolone,Malappuram,September,Pathanamthitta
minocycline,Thrissur,July,Thrissur
lidocaine topical,Wayanad,October,Thiruvananthapuram
minocycline,Ernakulam,February,Idukki
sertraline,Kozhikode,January,Kannur
lisinopril,Kasargod,December,Ernakulam
elvitegravir,Palakkad,April,Kasargod
triamcinolone,Thiruvananthapuram,December,Wayanad
lidocaine topical,Pathanamthitta,February,Kasargod
emtricitabine,Aleppey,January,Thiruvananthapuram
diphenhydramine,Kozhikode,December,Palakkad
bupropion,Thiruvananthapuram,January,Ernakulam
spironolactone,Thiruvananthapuram,November,Kollam
sertraline,Idukki,March,Aleppey
triamcinolone,Kannur,May,Kottayam
lidocaine topical,Kollam,August,Kozhikode
emtricitabine,Kottayam,June,Malappuram
triamcinolone,Malappuram,September,Pathanamthitta
minocycline,Thrissur,July,Thrissur
lidocaine topical,Wayanad,October,Thiruvananthapuram
minocycline,Ernakulam,February,Idukki
sertraline,Kozhikode,January,Kannur
lisinopril,Kasargod,December,Ernakulam
elvitegravir,Palakkad,April,Kasargod
triamcinolone,Thiruvananthapuram,December,Wayanad
lidocaine topical,Pathanamthitta,February,Kasargod
emtricitabine,Aleppey,January,Thiruvananthapuram
diphenhydramine,Kozhikode,December,Palakkad
bupropion,Thiruvananthapuram,January,Ernakulam
spironolactone,Thiruvananthapuram,November,Kollam
sertraline,Idukki,March,Aleppey
triamcinolone,Kannur,May,Kottayam
lidocaine topical,Kollam,August,Kozhikode
emtricitabine,Kottayam,June,Malappuram
triamcinolone,Malappuram,September,Pathanamthitta
minocycline,Thrissur,July,Thrissur
lidocaine topical,Wayanad,October,Thiruvananthapuram
minocycline,Ernakulam,February,Idukki
sertraline,Kozhikode,January,Kannur
lisinopril,Kasargod,December,Ernakulam
elvitegravir,Palakkad,April,Kasargod
triamcinolone,Thiruvananthapuram,December,Wayanad
lidocaine topical,Pathanamthitta,February,Kasargod
emtricitabine,Aleppey,January,Thiruvananthapuram
diphenhydramine,Kozhikode,December,Palakkad
bupropion,Thiruvananthapuram,January,Ernakulam
spironolactone,Thiruvananthapuram,November,Kollam
sertraline,Idukki,March,Aleppey
triamcinolone,Kannur,May,Kottayam
lidocaine topical,Kollam,August,Kozhikode
emtricitabine,Kottayam,June,Malappuram
triamcinolone,Malappuram,September,Pathanamthitta
minocycline,Thrissur,July,Thrissur
lidocaine topical,Wayanad,October,Thiruvananthapuram
minocycline,Ernakulam,February,Idukki
sertraline,Kozhikode,January,Kannur
lisinopril,Kasargod,December,Ernakulam
elvitegravir,Palakkad,April,Kasargod
triamcinolone,Thiruvananthapuram,December,Wayanad
lidocaine topical,Pathanamthitta,February,Kasargod
emtricitabine,Aleppey,January,Thiruvananthapuram
diphenhydramine,Kozhikode,December,Palakkad
bupropion,Thiruvananthapuram,January,Ernakulam
spironolactone,Thiruvananthapuram,November,Kollam
sertraline,Idukki,March,Aleppey
triamcinolone,Kannur,May,Kottayam
lidocaine topical,Kollam,August,Kozhikode
emtricitabine,Kottayam,June,Malappuram
triamcinolone,Malappuram,September,Pathanamthitta
minocycline,Thrissur,July,Thrissur
lidocaine topical,Wayanad,October,Thiruvananthapuram
minocycline,Ernakulam,February,Idukki
sertraline,Kozhikode,January,Kannur
lisinopril,Kasargod,December,Ernakulam
elvitegravir,Palakkad,April,Kasargod
triamcinolone,Thiruvananthapuram,December,Wayanad
lidocaine topical,Pathanamthitta,February,Kasargod
emtricitabine,Aleppey,January,Thiruvananthapuram
diphenhydramine,Kozhikode,December,Palakkad
bupropion,Thiruvananthapuram,January,Ernakulam
spironolactone,Thiruvananthapuram,November,Kollam
sertraline,Idukki,March,Aleppey
triamcinolone,Kannur,May,Kottayam
lidocaine topical,Kollam,August,Kozhikode
emtricitabine,Kottayam,June,Malappuram
triamcinolone,Malappuram,September,Pathanamthitta
minocycline,Thrissur,July,Thrissur
lidocaine topical,Wayanad,October,Thiruvananthapuram
minocycline,Ernakulam,February,Idukki
sertraline,Kozhikode,January,Kannur
lisinopril,Kasargod,December,Ernakulam
elvitegravir,Palakkad,April,Kasargod
triamcinolone,Thiruvananthapuram,December,Wayanad
lidocaine topical,Pathanamthitta,February,Kasargod
emtricitabine,Aleppey,January,Thiruvananthapuram
diphenhydramine,Kozhikode,December,Palakkad
bupropion,Thiruvananthapuram,January,Ernakulam
spironolactone,Thiruvananthapuram,November,Kollam
sertraline,Idukki,March,Aleppey
triamcinolone,Kannur,May,Kottayam
lidocaine topical,Kollam,August,Kozhikode
emtricitabine,Kottayam,June,Malappuram
triamcinolone,Malappuram,September,Pathanamthitta
minocycline,Thrissur,July,Thrissur
lidocaine topical,Wayanad,October,Thiruvananthapuram
minocycline,Ernakulam,February,Idukki
sertraline,Kozhikode,January,Kannur
lisinopril,Kasargod,December,Ernakulam
elvitegravir,Palakkad,April,Kasargod
triamcinolone,Thiruvananthapuram,December,Wayanad
lidocaine topical,Pathanamthitta,February,Kasargod
emtricitabine,Aleppey,January,Thiruvananthapuram
diphenhydramine,Kozhikode,December,Palakkad
bupropion,Thiruvananthapuram,January,Ernakulam
spironolactone,Thiruvananthapuram,November,Kollam
sertraline,Idukki,March,Aleppey
triamcinolone,Kannur,May,Kottayam
lidocaine topical,Kollam,August,Kozhikode
emtricitabine,Kottayam,June,Malappuram
triamcinolone,Malappuram,September,Pathanamthitta
minocycline,Thrissur,July,Thrissur
lidocaine topical,Wayanad,October,Thiruvananthapuram
minocycline,Ernakulam,February,Idukki
sertraline,Kozhikode,January,Kannur
lisinopril,Kasargod,December,Ernakulam
elvitegravir,Palakkad,April,Kasargod
triamcinolone,Thiruvananthapuram,December,Wayanad
lidocaine topical,Pathanamthitta,February,Kasargod
emtricitabine,Aleppey,January,Thiruvananthapuram
diphenhydramine,Kozhikode,December,Palakkad
bupropion,Thiruvananthapuram,January,Ernakulam
spironolactone,Thiruvananthapuram,November,Kollam
sertraline,Idukki,March,Aleppey
triamcinolone,Kannur,May,Kottayam
lidocaine topical,Kollam,August,Kozhikode
emtricitabine,Kottayam,June,Malappuram
triamcinolone,Malappuram,September,Pathanamthitta
minocycline,Thrissur,July,Thrissur
lidocaine topical,Wayanad,October,Thiruvananthapuram
minocycline,Ernakulam,February,Idukki
sertraline,Kozhikode,January,Kannur
lisinopril,Kasargod,December,Ernakulam
elvitegravir,Palakkad,April,Kasargod
triamcinolone,Thiruvananthapuram,December,Wayanad
lidocaine topical,Pathanamthitta,February,Kasargod
emtricitabine,Aleppey,January,Thiruvananthapuram
diphenhydramine,Kozhikode,December,Palakkad
bupropion,Thiruvananthapuram,January,Ernakulam
spironolactone,Thiruvananthapuram,November,Kollam
sertraline,Idukki,March,Aleppey
triamcinolone,Kannur,May,Kottayam
lidocaine topical,Kollam,August,Kozhikode
emtricitabine,Kottayam,June,Malappuram
triamcinolone,Malappuram,September,Pathanamthitta
minocycline,Thrissur,July,Thrissur
lidocaine topical,Wayanad,October,Thiruvananthapuram
minocycline,Ernakulam,February,Idukki
sertraline,Kozhikode,January,Kannur
lisinopril,Kasargod,December,Ernakulam
elvitegravir,Palakkad,April,Kasargod
triamcinolone,Thiruvananthapuram,December,Wayanad
lidocaine topical,Pathanamthitta,February,Kasargod
emtricitabine,Aleppey,January,Thiruvananthapuram
diphenhydramine,Kozhikode,December,Palakkad
bupropion,Thiruvananthapuram,January,Ernakulam
spironolactone,Thiruvananthapuram,November,Kollam
sertraline,Idukki,March,Aleppey
triamcinolone,Kannur,May,Kottayam
lidocaine topical,Kollam,August,Kozhikode
emtricitabine,Kottayam,June,Malappuram
triamcinolone,Malappuram,September,Pathanamthitta
minocycline,Thrissur,July,Thrissur
lidocaine topical,Wayanad,October,Thiruvananthapuram
minocycline,Ernakulam,February,Idukki
sertraline,Kozhikode,January,Kannur
lisinopril,Kasargod,December,Ernakulam
elvitegravir,Palakkad,April,Kasargod
triamcinolone,Thiruvananthapuram,December,Wayanad
lidocaine topical,Pathanamthitta,February,Kasargod
emtricitabine,Aleppey,January,Thiruvananthapuram
diphenhydramine,Kozhikode,December,Palakkad
bupropion,Thiruvananthapuram,January,Ernakulam
spironolactone,Thiruvananthapuram,November,Kollam
sertraline,Idukki,March,Aleppey
triamcinolone,Kannur,May,Kottayam
lidocaine topical,Kollam,August,Kozhikode
emtricitabine,Kottayam,June,Malappuram
triamcinolone,Malappuram,September,Pathanamthitta
minocycline,Thrissur,July,Thrissur
lidocaine topical,Wayanad,October,Thiruvananthapuram
minocycline,Ernakulam,February,Idukki
sertraline,Kozhikode,January,Kannur
lisinopril,Kasargod,December,Ernakulam
elvitegravir,Palakkad,April,Kasargod
triamcinolone,Thiruvananthapuram,December,Wayanad
lidocaine topical,Pathanamthitta,February,Kasargod
emtricitabine,Aleppey,January,Thiruvananthapuram
diphenhydramine,Kozhikode,December,Palakkad
bupropion,Thiruvananthapuram,January,Ernakulam
spironolactone,Thiruvananthapuram,November,Kollam
sertraline,Idukki,March,Aleppey
triamcinolone,Kannur,May,Kottayam
lidocaine topical,Kollam,August,Kozhikode
emtricitabine,Kottayam,June,Malappuram
triamcinolone,Malappuram,September,Pathanamthitta
minocycline,Thrissur,July,Thrissur
lidocaine topical,Wayanad,October,Thiruvananthapuram
minocycline,Ernakulam,February,Idukki
sertraline,Kozhikode,January,Kannur
lisinopril,Kasargod,December,Ernakulam
elvitegravir,Palakkad,April,Kasargod
triamcinolone,Thiruvananthapuram,December,Wayanad
lidocaine topical,Pathanamthitta,February,Kasargod
emtricitabine,Aleppey,January,Thiruvananthapuram
diphenhydramine,Kozhikode,December,Palakkad
bupropion,Thiruvananthapuram,January,Ernakulam
spironolactone,Thiruvananthapuram,November,Kollam
sertraline,Idukki,March,Aleppey
triamcinolone,Kannur,May,Kottayam
lidocaine topical,Kollam,August,Kozhikode
emtricitabine,Kottayam,June,Malappuram
triamcinolone,Malappuram,September,Pathanamthitta
minocycline,Thrissur,July,Thrissur
lidocaine topical,Wayanad,October,Thiruvananthapuram
minocycline,Ernakulam,February,Idukki
sertraline,Kozhikode,January,Kannur
lisinopril,Kasargod,December,Ernakulam
elvitegravir,Palakkad,April,Kasargod
triamcinolone,Thiruvananthapuram,December,Wayanad
lidocaine topical,Pathanamthitta,February,Kasargod
emtricitabine,Aleppey,January,Thiruvananthapuram
diphenhydramine,Kozhikode,December,Palakkad
bupropion,Thiruvananthapuram,January,Ernakulam
spironolactone,Thiruvananthapuram,November,Kollam
sertraline,Idukki,March,Aleppey
triamcinolone,Kannur,May,Kottayam
lidocaine topical,Kollam,August,Kozhikode
emtricitabine,Kottayam,June,Malappuram
triamcinolone,Malappuram,September,Pathanamthitta
minocycline,Thrissur,July,Thrissur
lidocaine topical,Wayanad,October,Thiruvananthapuram
minocycline,Ernakulam,February,Idukki
sertraline,Kozhikode,January,Kannur
lisinopril,Kasargod,December,Ernakulam
elvitegravir,Palakkad,April,Kasargod
triamcinolone,Thiruvananthapuram,December,Wayanad
lidocaine topical,Pathanamthitta,February,Kasargod
emtricitabine,Aleppey,January,Thiruvananthapuram
diphenhydramine,Kozhikode,December,Palakkad
bupropion,Thiruvananthapuram,January,Ernakulam
spironolactone,Thiruvananthapuram,November,Kollam
sertraline,Idukki,March,Aleppey
triamcinolone,Kannur,May,Kottayam
lidocaine topical,Kollam,August,Kozhikode
emtricitabine,Kottayam,June,Malappuram
triamcinolone,Malappuram,September,Pathanamthitta
minocycline,Thrissur,July,Thrissur
lidocaine topical,Wayanad,October,Thiruvananthapuram
minocycline,Ernakulam,February,Idukki
sertraline,Kozhikode,January,Kannur
lisinopril,Kasargod,December,Ernakulam
elvitegravir,Palakkad,April,Kasargod
triamcinolone,Thiruvananthapuram,December,Wayanad
lidocaine topical,Pathanamthitta,February,Kasargod
emtricitabine,Aleppey,January,Thiruvananthapuram
diphenhydramine,Kozhikode,December,Palakkad
bupropion,Thiruvananthapuram,January,Ernakulam
spironolactone,Thiruvananthapuram,November,Kollam
sertraline,Idukki,March,Aleppey
triamcinolone,Kannur,May,Kottayam
lidocaine topical,Kollam,August,Kozhikode
emtricitabine,Kottayam,June,Malappuram
triamcinolone,Malappuram,September,Pathanamthitta
minocycline,Thrissur,July,Thrissur
lidocaine topical,Wayanad,October,Thiruvananthapuram
minocycline,Ernakulam,February,Idukki
sertraline,Kozhikode,January,Kannur
lisinopril,Kasargod,December,Ernakulam
elvitegravir,Palakkad,April,Kasargod
triamcinolone,Thiruvananthapuram,December,Wayanad
lidocaine topical,Pathanamthitta,February,Kasargod
emtricitabine,Aleppey,January,Thiruvananthapuram
diphenhydramine,Kozhikode,December,Palakkad
bupropion,Thiruvananthapuram,January,Ernakulam
spironolactone,Thiruvananthapuram,November,Kollam
sertraline,Idukki,March,Aleppey
triamcinolone,Kannur,May,Kottayam
lidocaine topical,Kollam,August,Kozhikode
emtricitabine,Kottayam,June,Malappuram
triamcinolone,Malappuram,September,Pathanamthitta
minocycline,Thrissur,July,Thrissur
lidocaine topical,Wayanad,October,Thiruvananthapuram
minocycline,Ernakulam,February,Idukki
sertraline,Kozhikode,January,Kannur
lisinopril,Kasargod,December,Ernakulam
elvitegravir,Palakkad,April,Kasargod
triamcinolone,Thiruvananthapuram,December,Wayanad
lidocaine topical,Pathanamthitta,February,Kasargod
emtricitabine,Aleppey,January,Thiruvananthapuram
diphenhydramine,Kozhikode,December,Palakkad
bupropion,Thiruvananthapuram,January,Ernakulam
spironolactone,Thiruvananthapuram,November,Kollam
sertraline,Idukki,March,Aleppey
triamcinolone,Kannur,May,Kottayam
lidocaine topical,Kollam,August,Kozhikode
emtricitabine,Kottayam,June,Malappuram
triamcinolone,Malappuram,September,Pathanamthitta
minocycline,Thrissur,July,Thrissur
lidocaine topical,Wayanad,October,Thiruvananthapuram
minocycline,Ernakulam,February,Idukki
sertraline,Kozhikode,January,Kannur
lisinopril,Kasargod,December,Ernakulam
elvitegravir,Palakkad,April,Kasargod
triamcinolone,Thiruvananthapuram,December,Wayanad
lidocaine topical,Pathanamthitta,February,Kasargod
emtricitabine,Aleppey,January,Thiruvananthapuram
diphenhydramine,Kozhikode,December,Palakkad
bupropion,Thiruvananthapuram,January,Ernakulam
spironolactone,Thiruvananthapuram,November,Kollam
sertraline,Idukki,March,Aleppey
triamcinolone,Kannur,May,Kottayam
lidocaine topical,Kollam,August,Kozhikode
emtricitabine,Kottayam,June,Malappuram
triamcinolone,Malappuram,September,Pathanamthitta
minocycline,Thrissur,July,Thrissur
lidocaine topical,Wayanad,October,Thiruvananthapuram
minocycline,Ernakulam,February,Idukki
sertraline,Kozhikode,January,Kannur
lisinopril,Kasargod,December,Ernakulam
elvitegravir,Palakkad,April,Kasargod
triamcinolone,Thiruvananthapuram,December,Wayanad
lidocaine topical,Pathanamthitta,February,Kasargod
emtricitabine,Aleppey,January,Thiruvananthapuram
diphenhydramine,Kozhikode,December,Palakkad
bupropion,Thiruvananthapuram,January,Ernakulam
spironolactone,Thiruvananthapuram,November,Kollam
sertraline,Idukki,March,Aleppey
triamcinolone,Kannur,May,Kottayam
lidocaine topical,Kollam,August,Kozhikode
